Conference title	Conference code	Year	Status	Publisher	Ready	URL	Editors	Dates held	Location	Complete PDF	Type	Notes	file_name	Joint
Third International EAMT Workshop: Machine Translation and the Lexicon	eamt	1993		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1993-abstracts.htm	Steffens, Petra	April 26–28	Heidelberg, Germany		Abstracts		eamt.1993	
Machine Translation and Translation Theory	eamt	1994		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1994-TOC.htm	Hauenschild, Christa and Heizmann, Susanne	September 14–16	Hildesheim, Germany		TOC		1994.eamt	
EAMT Machine Translation Workshop	eamt	1996		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1996-WS.pdf	??Dimitri Theologitis	August 29-30 	Vienna, Austria		PDF	"Compiled by Dimitri Theologitis."? 	1996.eamt	
EAMT Workshop: Language Technology in your Organization?	eamt	1997		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1997-TOC.htm	Hutchins, John	May 21-22 	Copenhagen, Denmark		TOC	MT News: http://www.mt-archive.info/90/MTNI-17.pdf	1997.eamt	
Proceedings of the 1998 EAMT Workshop: Translation technology: integration in the workflow environment	eamt	1998		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1998-WS.pdf	??Hutchins, John	April 2–3	Geneva, Switzerland		PDF		1998.eamt	
EAMT Workshop: EU and the new languages	eamt	1999		European Association for Machine Translation	TRUE	http://www.mt-archive.info/90/EAMT-1999-TOC.htm		April 22–23	Prague, Czech Republic		TOC		1999.eamt	
5th EAMT Workshop: Harvesting Existing Resources	eamt	2000		European Association for Machine Translation	TRUE	http://www.mt-archive.info/00/EAMT-2000-TOC.htm		May 11–12	Ljubljana, Slovenia		TOC		2000.eamt	
6th EAMT Workshop: Teaching machine translation	eamt	2002		European Association for Machine Translation	TRUE	http://www.mt-archive.info/00/EAMT-2002-TOC.htm	Derek Lewis	November 14–15	Manchester, UK		TOC		2002.eamt	
EAMT Workshop: Improving MT through other language technology tools: resources and tools for building MT	eamt	2003	In Anthology	European Association for Machine Translation	TRUE	http://www.mt-archive.info/00/EAMT-2003-TOC.htm		April 13	Budapest, Hungary		TOC	Workshop at EACL-03	2003.eamt	
Joint Conference of the 8th International Workshop of the European Association for Machine Translation and the 4th Controlled Language Applications Workshop (EAMT-CLAW)	eamt	2003		European Association for Machine Translation	TRUE	http://www.mt-archive.info/00/CLT-2003-TOC.htm		May 15–17	Dublin, Ireland		TOC		2003.eamt	
9th EAMT Workshop: Broadening horizons of machine translation and its applications	eamt	2004		European Association for Machine Translation	TRUE	http://www.mt-archive.info/00/EAMT-2004-TOC.htm		April 26–27	Malta		TOC		2004.eamt	
Proceedings of the 10th EAMT Conference: Practical applications of machine translation	eamt	2005		European Association for Machine Translation	TRUE	http://www.mt-archive.info/05/EAMT-2005-TOC.htm		May 30–31	Budapest, Hungary		TOC		2005.eamt	
Proceedings of the 11th Annual conference of the European Association for Machine Translation	eamt	2006		European Association for Machine Translation	TRUE	http://www.mt-archive.info/05/EAMT-2006-TOC.htm	Viggo Hansen and Bente Maegaard	June 19–20	Oslo, Norway		TOC		2006.eamt	
Proceedings of the 12th Annual conference of the European Association for Machine Translation	eamt	2008		European Association for Machine Translation	TRUE	http://www.mt-archive.info/05/EAMT-2008-TOC.htm	Hutchins, John and Hahn, Walther	September 22-23	Hamburg, Germany		TOC		2008.eamt	
Proceedings of the 13th Annual conference of the European Association for Machine Translation	eamt	2009		European Association for Machine Translation	TRUE	http://www.mt-archive.info/05/EAMT-2009-TOC.htm	Màrquez, Lluís and Somers, Harold	May 14–15	Barcelona, Spain		TOC		2009.eamt	
Machine Technologies for Historical Linguistics	eamt	2009		European Association for Machine Translation	TRUE	http://www.mt-archive.info/05/EAMT-2009-TOC.htm	??	May 13	Barcelona, Spain		TOC		2009.histo	
Proceedings of the 14th Annual conference of the European Association for Machine Translation	eamt	2010		European Association for Machine Translation	TRUE	http://www.mt-archive.info/10/EAMT-2010-TOC.htm	Yvon, François and Hansen, Viggo	May 27–28	Saint Raphaël, France		TOC		2010.eamt	
Proceedings of the 15th Annual conference of the European Association for Machine Translation	eamt	2011		European Association for Machine Translation	TRUE	http://www.mt-archive.info/10/EAMT-2011-TOC.htm	Forcada, Mikel L. and Depraetere, Heidi and Vandeghinste, Vincent	May 30–31	Leuven, Belgium		TOC		2011.eamt	
Proceedings of the 16th Annual conference of the European Association for Machine Translation	eamt	2012		European Association for Machine Translation	TRUE	http://www.mt-archive.info/10/EAMT-2012-TOC.htm	Cettolo, Mauro and Federico, Marcello and Specia, Lucia and Way, Andy	May 28–30	Trento, Italy	http://www.mt-archive.info/10/EAMT-2012-complete.pdf	TOC		2012.eamt	
Proceedings of the 17th Annual conference of the European Association for Machine Translation	eamt	2014	Done	European Association for Machine Translation	TRUE	http://www.mt-archive.info/10/EAMT-2014-TOC.htm	Cettolo, Mauro and Federico, Marcello and Specia, Lucia and Way, Andy	June 16-18	Dubrovnik, Croatia		TOC		2014.eamt	
Proceedings of the 18th Annual Conference of the European Association for Machine Translation	eamt	2015	In Anthology	European Association for Machine Translation	TRUE	http://www.mt-archive.info/15/EAMT-2015-TOC.htm	El‐Kahlout, İIknur and Özkan, Mehmed and Sánchez‐Martínez, Felipe and Ramírez‐Sánchez, Gema and Hollywood, Fred and Way, Andy	May 11–13	Antalya, Turkey		TOC		2015.eamt	
Proceedings of the 19th Annual Conference of the European Association for Machine Translation	eamt	2016	In Anthology	Baltic Journal of Modern Computing	TRUE	http://www.mt-archive.info/15/EAMT-2016-TOC.htm		May 30–June 1	Riga, Latvia		TOC		2016.eamt	
Conference on Mechanical Translation	preconf	1952		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/MIT-1952-TOC.htm	??R.H.Richens and A.D.Booth	17-20 June	Massachusetts Institute of Technology		TOC	Report on the conference can be found here: http://www.mt-archive.info/MT-1954-Reifler.pdf and here: http://www.mt-archive.info/MT-1954-Reynolds.pdf 	1952.preconf	
International Conference on Mechanical Translation	preconf	1956		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/MechTrans-3-2-1956.pdf	??	20 October	Massachusetts Institute of Technology		PDF		1956.preconf	
Research in Machine Translation	preconf	1957		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/GURT-1957-TOC.htm	Léon Dostert	12-13 April	Georgetown University		TOC		1957.preconf	
National Symposium on Machine Translation	preconf	1960		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/UCLA-1960-TOC.htm	H.P.EDMUNDSON	2-5 February	Los Angeles		TOC		1960.preconf-a	
Federally sponsored machine translation workers	preconf	1960		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/Princeton-1960.pdf	??	18-22 July	Princeton		PDF		1960.preconf	
International Conference on Machine Translation and Applied Language Analysis	preconf	1961		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/NPL-1961-TOC.htm	?? Not mentionned on TOC	5-8 September	National Physical Laboratory		TOC		1961.preconf	
Automatic translation of languages NATO Summer School	preconf	1962		??Pergamon Press	TRUE	http://www.mt-archive.info/50/NATO-1962-TOC.htm	??ALDO GHIZZETTI	July	Venice		TOC		1962.preconf	
Annual meeting of the Association for Machine Translation and Computational Linguistics	preconf	1963		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/50/AMTCL-1963-TOC.htm	?? Not mentionned on TOC	25-26 August	Denver, Colorado		TOC & PDF	Abstract: http://www.mt-archive.info/50/AMTCL-1963-TOC.htm	1963.preconf	
Feasibility Study on Fully Automatic High Quality Translation	preconf	1971		?? Rome Air Development Center  Air Force Systems Command  Griffiss Air Force Base, New York	TRUE	http://www.mt-archive.info/70/LRC-1971-TOC.htm	??Dr.Winfred P. Lehmann  Dr.Rolf Stachowitz		University of Texas		TOC		1971.preconf	
FBIS [Foreign Broadcast Information Service] Seminar on Machine Translation	preconf	1976		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/FBIS-1976-TOC.htm	?? Published in American Journal of Computational Linguistics, microfiche 46	8-9 March	Virginia		TOC		1976.preconf	
Proceedings of MT Summit I	mtsummit	1987		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/MTS-1987-TOC.htm	?? Not mentionned on TOC, maybe Makoto Nagao?	September 17-19	Hakone, Japan		TOC	Also included in proceedings Current machine translation systems in Japan http://www.mt-archive.info/70/MTS-1987-Appendix.pdf 	1987.mtsummit	1987.mtsummit
Proceedings of MT Summit II	mtsummit	1989		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/MTS-1989-TOC.htm	?? Not mentionned on TOC	August 16-18	München, Germany		TOC	Papers have titles in their pdf, and the order of pages is strange.	1989.mtsummit	1989.mtsummit
Proceedings of MT Summit III	mtsummit	1991		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/MTS-1991-TOC.htm	?? Not mentionned on TOC	July 1-4	Washington DC, USA		TOC	[Conference reports in MT News International  no. 1, January 1992; and in MT News International no.2, May 1992] MT journal1: http://www.mt-archive.info/MTNI-1.pdf MT journal2: http://www.mt-archive.info/MTNI-2.pdf	1991.mtsummit	1991.mtsummit
Progress in Machine Translation	pmt	1991		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/Nirenburg-1993-TOC.htm	Sergei Nirenburg	July	Amsterdam/Oxford/Washington, DC 1993 Tokyo/Osaka/Kyoto: Ohmsha			Includes papers presented at the MT Summit III conference, Washington, DC, USA, July 1991	1991.pmt	???
Proceedings of MT Summit IV	mtsummit	1993		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/MTS-1993-TOC.htm		July 19-22	Kobe, Japan		TOC	Mt journal: http://www.mt-archive.info/MTNI-6.pdf	1993.mtsummit	1993.mtsummit
Proceedings of MT Summit V	mtsummit	1995		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/MTS-1995-TOC.htm	??John Hutchins	July 10-13	Luxembourg, Luxembourg		TOC	Mt journal: http://www.mt-archive.info/MTNI-12.pdf	1995.mtsummit	1995.mtsummit
Proceedings of MT Summit VI	mtsummit	1997		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/MTS-1997-TOC.htm	Virginia Teller and Beth Sundheim	October 29 – November 1	San Diego, California		TOC	Other events (not included in the proceedings): AMTA/SIG-IL First Workshop on Interlinguas, 28 October 1997. Table of contents	1997.mtsummit	1997.mtsummit
AMTA/SIG-IL First Workshop on Interlinguas	inter	1997		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/AMTA-1997-TOC.htm	?? Not mentionned on TOC	October 28	San Diego, California		TOC	Not included in the mtsummit proceeding	1997.inter	1997.mtsummit
Proceedings of MT Summit VII	mtsummit	1999		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/MTS-1999-TOC.htm	?? Not mentionned on TOC	September 13-17	Singapore, Singapore		TOC		1999.mtsummit	1999.mtsummit
Proceedings of MT Summit VIII	mtsummit	2001		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2001-TOC.htm	Bente Maegaard	September 18-22	Santiago de Compostela, Spain		TOC	MT journal :http://www.mt-archive.info/00/MTNI-29.pdf	2001.mtsummit	2001.mtsummit
MT evaluation workshop	eval	2001		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2001-TOC.htm			Santiago de Compostela, Spain		TOC		2001.eval	2001.mtsummit
International Workshop on Example-Based Machine Translation	ebmt	2001		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2001-TOC.htm			Santiago de Compostela, Spain		TOC		2001.ebmt	2001.mtsummit
Teaching Machine Translation	teach	2001		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2001-TOC.htm			Santiago de Compostela, Spain		TOC		2001.teach	2001.mtsummit
Towards a Road Map for MT	road	2001		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2001-TOC.htm			Santiago de Compostela, Spain		TOC		2001.road	2001.mtsummit
Proceedings of MT Summit IX	mtsummit	2003		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2003-TOC.htm	??program chair, Elliott Macklovitch ?? EDITOR-IN-CHIEF in MT news:Laurie Gerber	September 23-27	New Orleans, USA		TOC	http://www.mt-archive.info/00/MTNI-34.pdf	2003.mtsummit	2003.mtsummit
AMTA/SIG-IL, Sixth Workshop on Interlinguals	inter	2003	Duplicate	?? Not mentionned on TOC	FALSE	http://www.mt-archive.info/00/MTS-2003-TOC.htm			New Orleans, USA		TOC		2003.inter	2003.mtsummit
Machine translation for Semitic languages: issues and approaches	semit	2003		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2003-TOC.htm			New Orleans, USA		TOC		2003.semit	2003.mtsummit
Teaching Translation Technologies and Tools	teach	2003		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2003-TOC.htm			New Orleans, USA		TOC		2003.teach	2003.mtsummit
Towards Systematizing MT Evaluation	eval	2003		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/MTS-2003-TOC.htm			New Orleans, USA		TOC		2003.eval	2003.mtsummit
Proceedings of MT Summit X	mtsummit	2005		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2005-TOC.htm		September 13-15	Phuket, Thailand		TOC		2005.mtsummit	2005.mtsummit
Open-source machine translation workshop	osmtw	2005		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Phuket, Thailand		TOC		2005.osmtw	2005.mtsummit
International Workshop on Example-Based Machine Translation	ebmt	2005	Duplicate	?? Not mentionned on TOC	FALSE	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Phuket, Thailand		TOC		see#2005.ebmt	2005.mtsummit
Proceedings of the First Workshop on Patent Translation	wpt	2005		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Phuket, Thailand		TOC		2005.wpt	2005.mtsummit
Semantic Web technologies for machine translation	swtmt	2005		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Phuket, Thailand		TOC		2005.swtmt	2005.mtsummit
Proceedings of MT Summit XI	mtsummit	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2007-TOC.htm	Bente Maegaard	September 10-14	Copenhagen, Denmark		TOC	Has a cover: http://www.mt-archive.info/MTS-2007-cover.pdf	2007.mtsummit	2007.mtsummit
Proceedings of the Second Workshop on Patent Translation	wpt	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2007-TOC.htm	?? Not mentionned on TOC		Copenhagen, Denmark		TOC	preliminary matters and content: http://www.mt-archive.info/MTS-2007-WS-3-prelims.pdf	2007.wpt	2007.mtsummit
Using corpora for natural language generation	ucnlg	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2007-TOC.htm	?? Not mentionned on TOC		Copenhagen, Denmark	http://www.mt-archive.info/MTS-2007-WS-1-complete.pdf	TOC	Programme: http://www.mt-archive.info/MTS-2007-WS-4-programme.pdf 	2007.ucnlg	2007.mtsummit
Automatic procedures in MT evaluation	aptmte	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2007-TOC.htm	?? Not mentionned on TOC		Copenhagen, Denmark		TOC		2007.aptmte	2007.mtsummit
Proceedings of MT Summit XII	mtsummit	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2009-TOC.htm	??Laurie Gerber Conference chair?	August 26-30	Ottawa, Canada		TOC		2009.mtsummit	2009.mtsummit
CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages	caasl	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2009-TOC.htm	?? Not mentionned on TOC		Ottawa, Canada		TOC		2009.caasl	2009.mtsummit
Proceedings of the Third Workshop on Patent Translation	wpt	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2009-TOC.htm	?? Not mentionned on TOC		Ottawa, Canada		TOC		2009.wpt	2009.mtsummit
Beyond Translation Memories: New Tools for Translators Workshop	btm	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2009-TOC.htm	?? Not mentionned on TOC		Ottawa, Canada		TOC		2009.btm	2009.mtsummit
Proceedings of the 13th Machine Translation Summit	mtsummit	2011		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2011-TOC.htm	??see http://www.mt-archive.info/10/MTS-2011-prelims.pdf Program Chair: Hiromi Nakaiwa	September 19-23	Xiamen, China		TOC	Front cover link: http://www.mt-archive.info/10/MTS-2011-prelims.pdf	2011.mtsummit	2011.mtsummit
Proceedings of the 4th Workshop on Patent Translation	wpt	2011		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2011-patents-TOC.htm	Shoichi Yokoyama	September 23	Xiamen, China		TOC		2011.wpt	2011.mtsummit
Machine Translation Summit XIV	mtsummit	2013		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2013-TOC.htm	Andy Way and Khalil Sima’an and Mikel L.Forcada and Daniel Grasmick and Heidi Depaetere	September 2-6	Nice, France		TOC		2013.mtsummit	2013.mtsummit
Proceedings of the 5th Workshop on Patent Translation	wpt	2013		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2013-W1-TOC.htm	Shoichi Yokoyama	September 2	Nice, France		TOC		2013.wpt	2013.mtsummit
2nd Workshop on Post-editing Technology and Practice (WPTP 2013)	wptp	2013		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2013-W2-TOC.htm	Sharon O’Brien and Michel Simard and Lucia Specia	September 2	Nice, France		TOC		2013.wptp	2013.mtsummit
Proceedings of the Workshop on Multi-word Units in Machine Translation and Translation Technologies	wmwumttt	2013		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/MTS-2013-W4-TOC.htm	Johanna Monti and Ruslan Mitkov and Gloria Corpas Pastor	September 3	Nice, France		TOC		2013.wmwumttt	2013.mtsummit
Proceedings of MT Summit XV	mtsummit	2015			TRUE	http://www.mt-archive.info//15/MTS-2015-TOC.htm		October 30 – November 3	Miami, USA		TOC		2015.mtsummit	2015.mtsummit
4th Workshop on Post-editing Technology and Practice (WPTP 2015)	wptp	2015			TRUE	http://www.mt-archive.info//15/MTS-2015-TOC.htm		October 30 – November 3	Miami, USA		TOC		2015.wptp	2015.mtsummit
6th Workshop on Patent and Scientific Literature Translation (WPSLT)	wpslt	2015			TRUE	http://www.mt-archive.info//15/MTS-2015-TOC.htm		October 30 – November 3	Miami, USA		TOC		2015.wpslt	2015.mtsummit
Proceedings of the First Conference of the Association for Machine Translation in the Americas	amta	1994			TRUE	http://www.mt-archive.info/90/AMTA-1994-TOC.htm	?? John Hutchins	October 5-8	Columbia, Maryland, USA		TOC		1994.amta	
Conference of the Association for Machine Translation in the Americas	amta	1996			TRUE	http://www.mt-archive.info/90/AMTA-1996-TOC.htm	??	October 2-5	Montreal, Canada		TOC		1996.amta	
Conference of the Association for Machine Translation in the Americas	amta	1998			TRUE	http://www.mt-archive.info/90/AMTA-1998-TOC.htm	David Farwell and Laurie Gerber and Eduard Hovy	October 28-31	Langhorne, USA		TOC		1998.amta	
Conference of the Association for Machine Translation in the Americas	amta	2000			TRUE	http://www.mt-archive.info/00/AMTA-2000-TOC.htm	John S. White	October 10-14	Cuernavaca. Mexico		TOC		2000.amta	
Machine translation in practice: from old guard to new guard	amta	2000			TRUE	http://www.mt-archive.info/00/AMTA-2000-TOC.htm	??	October 10	Cuernavaca. Mexico		TOC		2000.amtaw	
Conference of the Association for Machine Translation in the Americas	amta	2002		Springer Verlag	TRUE	http://www.mt-archive.info/00/AMTA-2002-TOC.htm	Stephen D. Richardson	October 8-12	Tiburon, USA		TOC		2002.amta	
Conference of the Association for Machine Translation in the Americas	amta	2004		Springer Verlag	TRUE	http://www.mt-archive.info/00/AMTA-2004-TOC.htm	Robert E. Frederking and Kathryn B. Taylor	September 28 - October 2	Washington, USA		TOC		2004.amta	
Conference of the Association for Machine Translation in the Americas	amta	2006		??	TRUE	http://www.mt-archive.info/05/AMTA-2006-TOC.htm	??	August 8-12	Cambridge, Massachusetts, USA		TOC		2006.amta	
Conference of the Association for Machine Translation in the Americas	amta	2007	In Anthology	??	TRUE	http://www.mt-archive.info/05/NAACL-HLT-2007-TOC.htm	??	April 26	Rochester, New York, USA		TOC		2007.amta	
Conference of the Association for Machine Translation in the Americas	amta	2008	Skip	??	FALSE	http://www.mt-archive.info/05/AMTA-2008-TOC.htm	??	October 21-25	Waikiki, USA		TOC		2008.amta	
