Conference title	Conference code	Year	Status	Publisher	Ready	URL	Editors	Dates held	Location	Complete PDF	Type	Notes	file_name	Joint
Conference of the Association for Machine Translation in the Americas	amta	2010		??	TRUE	http://www.mt-archive.info/10/AMTA-2010-TOC.htm	??	October 31-November 4	Denver, Colorado, USA		TOC	for Second Joint EM+/CNGL Workshop “Bringing MT to the User: Research on Integrating MT in the Translation Industry" (JEC 2010). Link: http://www.mt-archive.info/10/JEC-2010-TOC.htm please see the file 2010.other	2010.amta	
Collaborative Translation: technology, crowdsourcing,and the translator perspective	amta	2010			TRUE	http://www.mt-archive.info/10/AMTA-2010-TOC.htm			Denver, Colorado, USA		TOC		2010.amtaw	
Proceedings of the Second Joint EM+/CNGL Workshop “Bringing MT to the User: Research on Integrating MT in the Translation Industry” JEC 2010	amta	2010			TRUE	http://www.mt-archive.info/10/JEC-2010-TOC.htm	Ventsislav Zhechev	November 4	Denver, Colorado, USA		TOC		2010.jec	
Conferences of the Association for Machine Translation in the Americas	amta	2012		??	TRUE	http://www.mt-archive.info/10/AMTA-2012-TOC.htm	??	October 28-November 1	San Diego, California, USA		TOC	Skiped: Government MT User Program section	2012.amta	
Workshop on Post-Editing Technology and Practice (WPTP 2012)	amta	2012		??	TRUE	http://www.mt-archive.info/10/AMTA-2012-WS-WPTP.pdf	??	October 28-November 1	San Diego, California, USA		PDF		2012.amta	
CAASL4: Fourth Workshop on Computational Approaches to Arabic-Script-based Languages	amta	2012		??	TRUE	http://www.mt-archive.info/10/AMTA-2012-WS-Arabic.pdf	??	October 28-November 1	San Diego, California, USA		PDF		2012.amta	
Workshop on Monolingual Machine Translation (MONOMT 2012)	amta	2012		??	TRUE	http://www.mt-archive.info/10/AMTA-2012-WS-Monolingual.pdf	??	October 28-November 1	San Diego, California, USA		PDF		2012.amta	
Conferences of the Association for Machine Translation in the Americas	amta	2014		??	TRUE	http://www.mt-archive.info/10/AMTA-2014-TOC.htm	Yaser Al-Onaizan and Michel Simard and Olga Beregovaya and Mike Dillinger and Jennifer Doyon and Raymond Flournoy and Patti O’Neill-Brown and Chuck Simmons and Francisco Casacuberta and Marcello Federico and Philipp Koehn and Sharon O’Brien and Michel Simard and Lucia Specia	October 22-26	Vancouver, Canada		TOC		2014.amta	
Workshop on interactive and adaptive machine translation	amta	2014		??	TRUE	http://www.mt-archive.info/10/AMTA-2014-TOC.htm	Francisco Casacuberta and Marcello Federico and Philipp Koehn		Vancouver, Canada		TOC		2014.amtaw	
Third workshop on post-editing technology and practice (WPTP-3)	amta	2014		??	TRUE	http://www.mt-archive.info/10/AMTA-2014-TOC.htm	Sharon O’Brien and Michel Simard and Lucia Specia		Vancouver, Canada		TOC		2014.wptp	
Conferences of the Association for Machine Translation in the Americas	amta	2016		??	TRUE	https://amtaweb.org/amta-2016-proceedings-are-available/	Spence Green and Lane Schwartz	October 28 - November 1	Austin, TX, USA	https://amtaweb.org/wp-content/uploads/2016/10/AMTA2016_Research_Proceedings_v7.pdf	PDF		2016.amta-v1	
Conferences of the Association for Machine Translation in the Americas	amta	2016		??	TRUE	https://amtaweb.org/amta-2016-proceedings-are-available/	Olga Beregovaya and Jennifer Doyon and Lucie Langlois and Steve Richardson	October 28 - November 2	Austin, TX, USA	https://amtaweb.org/wp-content/uploads/2017/02/AMTA2016_User_Track_Proceedings_v9updated_gov_papers.pdf	PDF		2016.amta-v2	
Conferences of the Association for Machine Translation in the Americas	amta	2016		??	TRUE	https://amtaweb.org/amta-2016-proceedings-are-available/	Olga Beregovaya and Jennifer Doyon and Lucie Langlois and Steve Richardson	October 28 - November 2	Austin, TX, USA		TOC	Tutorials	2016.amta-tuto	
International Conference on Methodology and Techniques of Machine Translation (processing from words to language)	bcs	1984		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/BCS-1984-TOC.htm	?? Not mentionned on TOC	February 13-15	Cranfield University, UK		TOC		1984.bcs	
Proceedings of the Second international conference organised by Cranfield University	bcs	1994		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/BCS-1994-TOC.htm	?? Not mentionned on TOC	November 12-14	Cranfield University, UK		TOC		1994.bcs	
Machine Translation and Multilingual Applications in the New Millennium	bcs	2000		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/BCS-2000-TOC.htm	?? Not mentionned on TOC	November 20-22	University of Exeter, UK		TOC		2000.bcs	
The Challenge of Arabic for NLP/MT	bcs	2006		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/BCS-2006-TOC.htm	?? Not mentionned on TOC	October 23	London, UK		TOC		2006.bcs	
Joint Conference combining the 8th International Workshop of the European Association for Machine Translation and the 4th Controlled Language Applications Workshop	claw	2003		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/CLT-2003-TOC.htm	??Jörg Schütz	May 15-17	Dublin City University, Ireland		TOC	MT News International no. 33, : http://www.mt-archive.info/00/MTNI-33.pdf	2003.claw	
Controlled Language Applications (CLAW)	claw	2006		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/CLAW-2006-TOC.htm	?? Not mentionned on TOC	August 12	Cambridge, Massachusetts, USA		TOC		2006.claw	2006.amta
International Workshop on Example-Based Machine Translation	ebmt	2001	Duplicate	?? Not mentionned on TOC	FALSE	http://www.mt-archive.info/00/MTS-2001-EBMT-WS.htm	??Organisers: Michael Carl and Andy Way	September 18	Santiago de Compostela, Spain		TOC		2001.ebmt	2001.mtsummit
International Workshop on Example-Based Machine Translation	ebmt	2005		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/MTS-2005-EBMT-WS.htm		September 16	Phuket, Tailand		TOC		2005.ebmt	
International Workshop on Example-Based Machine Translation	ebmt	2009	None, link points the wrong page	?? Not mentionned on TOC	FALSE	http://www.mt-archive.info/05/EBMT-2009-TOC.htm		November 12-13	Dublin, Ireland		TOC		2009.ebmt	
International Workshop on Free/Open-Source Rule-Based Machine Translation	freeopmt	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/FreeRBMT-2009-TOC.htm	Juan Antonio Pérez-Ortiz and Felipe Sánchez-Martinez and Francis M.Tyers	November 2-3	Alacant, Spain		TOC		2009.freeopmt	
International Workshop on Free/Open-Source Rule-Based Machine Translation	freeopmt	2011		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/FreeRBMT-2011-TOC.htm	Felipe Sánchez-Martinez and Juan Antonio Pérez-Ortiz	January 20-21	Barcelona, Spain		TOC		2011.freeopmt	
International Workshop on Free/Open-Source Rule-Based Machine Translation	freeopmt	2012		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/FreeRBMT-2012-TOC.htm	Cristina España-Bonet and Aarne Ranta	June 13-15	Gothenburg, Sweden		TOC		2012.freeopmt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2004		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/IWSLT-2004-TOC.htm	?? Not mentionned on TOC	September 30 – October 1	Kyoto, Japan		TOC		2004.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2005	In Anthology		FALSE	http://www.mt-archive.info/05/IWSLT-2005-TOC.htm		October 24-25	Pittsburgh, Pennsylvania, USA		TOC		2005.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2006		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/IWSLT-2006-TOC.htm	?? Not mentionned on TOC	November 27-28	Kyoto, Japan		TOC		2006.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/IWSLT-2007-TOC.htm	?? Not mentionned on TOC	October 15-16	Trento, Italy		TOC		2007.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2008		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/IWSLT-2008-TOC.htm	?? Not mentionned on TOC	October 20-21	Waikiki, Hawai’i		TOC		2008.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2009		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/IWSLT-2009-TOC.htm	?? Not mentionned on TOC	December 1-2	Tokyo, Japan		TOC		2009.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2010		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2010-TOC.htm	?? Not mentionned on TOC	December 2-3	Paris, France		TOC	unpublished proceedings	2010.iwsltu	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2010		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2010-proceedings.htm	?? Not mentionned on TOC	December 2-4	Paris, France			Published proceedings	2010.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2011		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2011-TOC.htm	Marcello Federico and Mei-Yuh Hwang and Margit Rödder and Sebastian Stüker	December 8-9	San Francisco, California		TOC		2011.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2012		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2012-TOC.htm	?? Not mentionned on TOC	December 6-7	Hong Kong, Table of contents		TOC		2012.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2013		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2013-TOC.htm	Joy Ying Zhang	December 5-6	Heidelberg, Germany		TOC		2013.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2014		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/IWSLT-2014-TOC.htm	Marcello Federico and Sebastian Stüker and François Yvon	December 4-5	Lake Tahoe, California		TOC		2014.iwslt	
International Workshop on Spoken Language Translation (IWSLT)	iwslt	2015		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info//15/IWSLT-2015-TOC.htm	Marcello Federico and Sebastian Stüker and Jan Niehues	December 3-4	Da Nang, Vietnam		TOC		2015.iwslt	
Machine Translation Marathon	mtm	2007	Skip		FALSE	http://www.mt-archive.info/05/MTMarathon-2007-TOC.htm		April 16-20	Edinburgh, UK		TOC		2007.mtm	
Machine Translation Marathon	mtm	2008	Skip		FALSE	http://www.mt-archive.info/05/MTMarathon-2008-TOC.htm		May 12-17	Berlin, Germany		TOC		2008.mtm	
Machine Translation Marathon	mtm	2009	Skip		FALSE	http://www.mt-archive.info/05/MTMarathon-2009-TOC.htm		January 26-30	Prague, Czech Republic		TOC		2009.mtm	
Machine Translation Marathon	mtm	2010	Skip		FALSE	http://www.mt-archive.info/10/MTMarathon-2010-TOC.htm		January 25-30	Dublin, Ireland		TOC		2010.mtm	
Machine Translation Marathon	mtm	2010	Skip		FALSE	http://www.mt-archive.info/10/MTMarathon-5-2010-TOC.htm		September 13-18	Le Mans, France		TOC		2010.mtm	
Machine Translation Marathon	mtm	2011	Skip		FALSE	http://www.mt-archive.info/10/MTMarathon-2011-TOC.htm		September 5-10	Trento, Italy		TOC		2011.mtm	
Machine Translation Marathon	mtm	2012	Skip		FALSE	http://www.mt-archive.info/10/MTMarathon-2012-TOC.htm		September 3-8	Edinburgh, UK		TOC		2012.mtm	
META-FORUM	mtf	2010		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/META-FORUM-2010-TOC.htm	?? Not mentionned on TOC	November 17-18	Brussels, Belgium		TOC		2010.mtf	
META-FORUM	mtf	2011		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/10/META-FORUM-2011-TOC.htm	?? Not mentionned on TOC	June 27-28	Budapest, Hungary		TOC		2011.mtf	
META-FORUM	mtf	2012			FALSE	http://www.mt-archive.info/10/META-FORUM-2012-summary.htm		June 19-20	Brussels, Belgium		PDF	Skip, too inconsistent	2012.mtf	
Syntax and Structure in Statistical Translation (SSST)	ssst	2007	In Anthology		FALSE	http://www.mt-archive.info/05/SSST-2007-TOC.htm		April 26	Rochester, New York, USA		TOC		2007.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2008	In Anthology		FALSE	http://www.mt-archive.info/05/SSST-2008-TOC.htm		June 20	Columbus, Ohio		TOC		2008.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2009	In Anthology		FALSE	http://www.mt-archive.info/05/SSST-2009-TOC.htm		June 5	Boulder, Colorada		TOC		2009.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2010	In Anthology		FALSE	http://www.mt-archive.info/10/SSST-2010-TOC.htm		August 28	Beijing, China		TOC		2010.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2011	In Anthology		FALSE	http://www.mt-archive.info/10/SSST-2011-TOC.htm		June 23	Portland, Oregon		TOC		2011.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2012	In Anthology		FALSE	http://www.mt-archive.info/10/SSST-2012-TOC.htm		July 12-13	Jeju, Korea		TOC		2012.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2013	In Anthology		FALSE	http://www.mt-archive.info/10/SSST-2013-TOC.htm		June 13	Atlanta, Georgia		TOC		2013.ssst	
Syntax and Structure in Statistical Translation (SSST)	ssst	2014	In Anthology		FALSE	http://www.mt-archive.info/10/SSST-2014-TOC.htm		October 25	Doha, Qatar		TOC		2014.ssst	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	1985		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/TMI-1985-TOC.htm	?? Not mentionned on TOC	August 14-16	Hamilton, NY		TOC		1985.tmi	
Second International Conference on Theoretical and Methodological Issues in Machine Translation of Natural Languages	tmi	1988		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/70/TMI-1988-TOC.htm	?? Not mentionned on TOC	June 12-14	Pittsburgh, USA		TOC		1988.tmi	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	1990		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1990-TOC.htm	?? Not mentionned on TOC	June 11-13	University of Texas, Austin		TOC		1990.tmi	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	1992		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1992-TOC.htm	?? Not mentionned on TOC	June 25-27	Montréal, Canada		TOC		1992.tmi	
The Fifth International Conference on Theoretical and Methodological Issues in Machine Translation with special emphasis on:  MT in the Next Generation	tmi	1993		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1993-TOC.htm	?? Not mentionned on TOC	July 14-16	Kyoto, Japan		TOC		1993.tmi	
The Sixth International Conference on Theoretical and Methodological Issues in Machine Translation	tmi	1995		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1995-TOC.htm	?? Not mentionned on TOC	July 5-7	Katholieke Universiteit, Leuven		TOC		1995.tmi	
Proceedings of the 7th International Conference on Theoretical and Methodological Issues in Machine Translation	tmi	1997		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1997-TOC.htm	?? Not mentionned on TOC	July 23-25	St John’s College, Santa Fe		TOC	Mt news international: http://www.mt-archive.info/MTNI-18.pdf	1997.tmi	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	1999		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/TMI-1999-TOC.htm	?? Not mentionned on TOC	August 23-25	University College, Chester		TOC		1999.tmi	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	2002		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/TMI-2002-TOC.htm	?? Not mentionned on TOC	March 13-17	Keihanna, Japan		TOC		2002.tmi	
Workshop: machine translation roadmap	tmi	2002		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/TMI-2002-TOC.htm	??Niels Ole Bernsen and Andreas Eisele and Dorothea Ziegler-Eisele	March 13-17	Keihanna, Japan				2002.tmiw	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	2004		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/00/TMI-2004-TOC.htm	?? Not mentionned on TOC	October 4-6	Baltimore, Maryland		TOC		2004.tmi	
Theoretical and Methodological Issues in Machine Translation (TMI)	tmi	2007		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/05/TMI-2007-TOC.htm	Andy Way and Barbara Gawronska	September 7-9	Skövde, Sweden	http://www.mt-archive.info/05/TMI-2007-complete.pdf	TOC		2007.tmi	
Translating and the Computer	tc	1978		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1978-TOC.htm	BARBARA M.SNELL	November 14	London, UK		TOC		1978.tc	
Translating and the Computer: Machine aids for translators	tc	1980		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1980-TOC.htm	??VERONICA LAWSON	November 20	London, UK		TOC		1980.tc	
Translating and the Computer: Practical experience of machine translation	tc	1981		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1981-TOC.htm	VERONICA LAWSON	November 5-6	London, UK		TOC		1981.tc	
Translating and the Computer: Term banks for tomorrow’s world: Translating and the Computer 4	tc	1982		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1982-TOC.htm	Barbara Snell	November 11-12	London, UK		TOC		1982.tc	
Translating and the Computer: Tools for the trade: Translating and the Computer 5	tc	1983		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1983-TOC.htm	Veronica Lawson	November 10-11	London, UK		TOC		1983.tc	
Translating and the Computer: Translation and communication	tc	1984		?? [London]: Aslib, 1985	TRUE	http://www.mt-archive.info/70/Aslib-1984-TOC.htm	CATRIONA PICKEN	November 20-21	London, UK		TOC		1984.tc	
Translating and the Computer 7	tc	1985		??London: Aslib, 1986	TRUE	http://www.mt-archive.info/70/Aslib-1985-TOC.htm	CATRIONA PICKEN	November 14-15	London, UK		TOC		1985.tc	
Translating and the Computer 8: a profession on the move	tc	1986		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1986-TOC.htm	 Catriona Picken	November 13-14	London, UK		TOC		1986.tc	
Translating and the Computer 9: potential and practice	tc	1987		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1987-TOC.htm	Catriona Picken	November 12-13	London, UK		TOC		1987.tc	
Translating and the Computer 10: the translation environment 10 years on	tc	1988		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1988-TOC.htm	PAMELA MAYORCAS	November 10-11	London, UK		TOC		1988.tc	
Translating and the Computer 11: preparing for the next decade	tc	1989		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1989-TOC.htm	CATRIONA PICKEN	November 16-17	London, UK		TOC		1989.tc	
Translating and the Computer 12: applying technology to the translation process	tc	1990		??London: Aslib, 1991	TRUE	http://www.mt-archive.info/90/Aslib-1990-TOC.htm	Catriona Picken	November 8-9	London, UK		TOC		1990.tc	
Translating and the Computer 13: the theory and practice of machine translation – a marriage of convenience?	tc	1991		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/Aslib-1991-TOC.htm	?? Not mentionned on TOC	November 28-29	London, UK		TOC		1991.tc	
Translating and the Computer 14: quality standards and the implementation of technology in translation	tc	1992		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1992-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1992.tc	
Translating and the Computer 15	tc	1993		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1993-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		1993.tc	
Translating and the Computer 16	tc	1994		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1994-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1994.tc	
Translating and the Computer 17	tc	1995		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1995-TOC.htm	?? Not mentionned on TOC	November 9-10	London, UK		TOC		1995.tc	
Translating and the Computer 18	tc	1996		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1996-TOC.htm	?? Not mentionned on TOC	November 14-15	London, UK		TOC		1996.tc	
Translating and the Computer 19	tc	1997		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1997-TOC.htm	?? Not mentionned on TOC	November 13-14	London, UK		TOC		1997.tc	
Translating and the Computer 20	tc	1998		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1998-TOC.htm	?? Not mentionned on TOC	November 12-13	London, UK		TOC		1998.tc	
Translating and the Computer 21	tc	1999		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1999-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1999.tc	
Translating and the Computer 22	tc	2000		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2000-TOC.htm	?? Not mentionned on TOC	November 16-17	London, UK		TOC		2000.tc	
Translating and the Computer 23	tc	2001		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2001-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2001.tc	
Translating and the Computer 24	tc	2002		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2002-TOC.htm	?? Not mentionned on TOC	November 21-22	London, UK		TOC		2002.tc	
Translating and the Computer 25	tc	2003		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2003-TOC.htm	?? Not mentionned on TOC	November 20-21	London, UK		TOC		2003.tc	
Translating and the Computer 26	tc	2004		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2004-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		2004.tc	
Translating and the Computer 27	tc	2005		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2005-TOC.htm	?? Not mentionned on TOC	November 24-25	London, UK		TOC		2005.tc	
Translating and the Computer 28	tc	2006		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2006-TOC.htm	?? Not mentionned on TOC	November 16-17	London, UK		TOC		2006.tc	
Translating and the Computer 29	tc	2007		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2007-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2007.tc	
Translating and the Computer 30	tc	2008		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2008-TOC.htm	?? Not mentionned on TOC	November 27-28	London, UK		TOC		2008.tc	
Translating and the Computer 31	tc	2009		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2009-TOC.htm	?? Not mentionned on TOC	November 19-20	London, UK		TOC		2009.tc	
Translating and the Computer 32	tc	2010		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2010-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		2010.tc	
Translating and the Computer 33	tc	2011		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2011-TOC.htm	?? Not mentionned on TOC	November 17-18	London, UK		TOC		2011.tc	
Translating and the Computer 34	tc	2012		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2012-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2012.tc	
Translating and the Computer 35	tc	2013		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2013-TOC.htm	?? Not mentionned on TOC	November 28-29	London, UK		TOC		2013.tc	
Translating and the Computer 36	tc	2014		??AsLing:The International Association for Advancement in Language Technology	TRUE	http://www.mt-archive.info/10/Asling-2014-TOC.htm	??Editions Tradulex, Geneva	November 27-28	London, UK		TOC		2014.tc	
Translating and the Computer 37	tc	2015		??AsLing:The International Association for Advancement in Language Technology	TRUE	http://www.mt-archive.info//15/Asling-2015-TOC.htm	??Editions Tradulex, Geneva	November 26-27	London, UK		TOC		2015.tc	
Translating and the Computer 38	tc	2016		??	TRUE	http://www.mt-archive.info//15/Asling-2016-TOC.htm	??	November 17-18	London, UK		TOC		2016.tc	
